Medical_Term,Frequency
stricture,92
gravida,92
core,92
anicteric,92
secretions,92
pituitary,92
aid,92
returns,92
spent,92
diplopia,92
sugars,92
thumb,91
positioning,91
live,91
sensitivity,91
inside,91
cerebellar,91
protrusion,91
threaded,91
spontaneously,91
functioning,91
glans,91
cheek,91
bring,90
closing,90
egd,90
fresh,90
phacoemulsification,90
ble,90
mobile,90
smaller,90
independent,90
buccal,90
collection,90
angina,90
behavior,90
curvilinear,90
orifice,90
unchanged,90
cellulitis,90
spray,90
colli,90
eat,90
swollen,90
arthroplasty,90
black,90
average,90
limbus,90
pap,90
answer,89
sleeping,89
psa,89
hydrocephalus,89
harmonic,89
etc,89
reasonable,89
bulk,89
achilles,89
titanium,89
counseling,89
progress,89
occipital,89
tented,89
want,89
bmp,89
kidneys,89
fibrosis,89
ligature,89
extent,89
consciousness,88
hemostats,88
september,88
entirety,88
cytology,88
begun,88
accommodation,88
viscoelastic,88
cancellous,88
listed,88
pancreas,88
ulceration,88
turbinate,88
dated,88
identifying,88
infiltrate,88
resulting,88
hepatic,88
